DriverCode,DriverNumber,TeamName,GridPosition,Position,Status,Points,Year,EventName,CircuitName,RoundNumber,IsWetRace
TSU,22,AlphaTauri,19.0,19.0,Power Unit,0.0,2022,Saudi Arabian Grand Prix,Jeddah,2,0
MSC,47,Haas F1 Team,,,Withdrew,0.0,2022,Saudi Arabian Grand Prix,Jeddah,2,0
LEC,16,Ferrari,1.0,1.0,Finished,26.0,2022,Australian Grand Prix,Melbourne,3,0
PER,11,Red Bull Racing,3.0,2.0,Finished,18.0,2022,Australian Grand Prix,Melbourne,3,0
RUS,63,Mercedes,6.0,3.0,Finished,15.0,2022,Australian Grand Prix,Melbourne,3,0
HAM,44,Mercedes,5.0,4.0,Finished,12.0,2022,Australian Grand Prix,Melbourne,3,0
NOR,4,McLaren,4.0,5.0,Finished,10.0,2022,Australian Grand Prix,Melbourne,3,0
RIC,3,McLaren,7.0,6.0,Finished,8.0,2022,Australian Grand Prix,Melbourne,3,0
OCO,31,Alpine,8.0,7.0,Finished,6.0,2022,Australian Grand Prix,Melbourne,3,0
BOT,77,Alfa Romeo,12.0,8.0,Finished,4.0,2022,Australian Grand Prix,Melbourne,3,0
GAS,10,AlphaTauri,11.0,9.0,Finished,2.0,2022,Australian Grand Prix,Melbourne,3,0
ALB,23,Williams,20.0,10.0,Finished,1.0,2022,Australian Grand Prix,Melbourne,3,0
ZHO,24,Alfa Romeo,14.0,11.0,Finished,0.0,2022,Australian Grand Prix,Melbourne,3,0
STR,18,Aston Martin,19.0,12.0,Finished,0.0,2022,Australian Grand Prix,Melbourne,3,0
MSC,47,Haas F1 Team,15.0,13.0,+1 Lap,0.0,2022,Australian Grand Prix,Melbourne,3,0
MAG,20,Haas F1 Team,16.0,14.0,+1 Lap,0.0,2022,Australian Grand Prix,Melbourne,3,0
TSU,22,AlphaTauri,13.0,15.0,+1 Lap,0.0,2022,Australian Grand Prix,Melbourne,3,0
LAT,6,Williams,18.0,16.0,+1 Lap,0.0,2022,Australian Grand Prix,Melbourne,3,0
ALO,14,Alpine,10.0,17.0,+1 Lap,0.0,2022,Australian Grand Prix,Melbourne,3,0
VER,1,Red Bull Racing,2.0,18.0,Fuel leak,0.0,2022,Australian Grand Prix,Melbourne,3,0
VET,5,Aston Martin,17.0,19.0,Accident,0.0,2022,Australian Grand Prix,Melbourne,3,0
SAI,55,Ferrari,9.0,20.0,Spun off,0.0,2022,Australian Grand Prix,Melbourne,3,0
VER,1,Red Bull Racing,1.0,1.0,Finished,26.0,2022,Emilia Romagna Grand Prix,Imola,4,1
PER,11,Red Bull Racing,3.0,2.0,Finished,18.0,2022,Emilia Romagna Grand Prix,Imola,4,1
NOR,4,McLaren,5.0,3.0,Finished,15.0,2022,Emilia Romagna Grand Prix,Imola,4,1
RUS,63,Mercedes,11.0,4.0,Finished,12.0,2022,Emilia Romagna Grand Prix,Imola,4,1
BOT,77,Alfa Romeo,7.0,5.0,Finished,10.0,2022,Emilia Romagna Grand Prix,Imola,4,1
LEC,16,Ferrari,2.0,6.0,Finished,8.0,2022,Emilia Romagna Grand Prix,Imola,4,1
TSU,22,AlphaTauri,12.0,7.0,Finished,6.0,2022,Emilia Romagna Grand Prix,Imola,4,1
VET,5,Aston Martin,13.0,8.0,Finished,4.0,2022,Emilia Romagna Grand Prix,Imola,4,1
MAG,20,Haas F1 Team,8.0,9.0,Finished,2.0,2022,Emilia Romagna Grand Prix,Imola,4,1
STR,18,Aston Martin,15.0,10.0,+1 Lap,1.0,2022,Emilia Romagna Grand Prix,Imola,4,1
ALB,23,Williams,18.0,11.0,+1 Lap,0.0,2022,Emilia Romagna Grand Prix,Imola,4,1
GAS,10,AlphaTauri,17.0,12.0,+1 Lap,0.0,2022,Emilia Romagna Grand Prix,Imola,4,1
HAM,44,Mercedes,14.0,13.0,+1 Lap,0.0,2022,Emilia Romagna Grand Prix,Imola,4,1
OCO,31,Alpine,16.0,14.0,+1 Lap,0.0,2022,Emilia Romagna Grand Prix,Imola,4,1
ZHO,24,Alfa Romeo,,15.0,+1 Lap,0.0,2022,Emilia Romagna Grand Prix,Imola,4,1
LAT,6,Williams,19.0,16.0,+1 Lap,0.0,2022,Emilia Romagna Grand Prix,Imola,4,1
MSC,47,Haas F1 Team,10.0,17.0,+1 Lap,0.0,2022,Emilia Romagna Grand Prix,Imola,4,1
RIC,3,McLaren,6.0,18.0,+1 Lap,0.0,2022,Emilia Romagna Grand Prix,Imola,4,1
ALO,14,Alpine,9.0,19.0,Collision damage,0.0,2022,Emilia Romagna Grand Prix,Imola,4,1
SAI,55,Ferrari,4.0,20.0,Collision,0.0,2022,Emilia Romagna Grand Prix,Imola,4,1
VER,1,Red Bull Racing,3.0,1.0,Finished,26.0,2022,Miami Grand Prix,Miami,5,0
LEC,16,Ferrari,1.0,2.0,Finished,18.0,2022,Miami Grand Prix,Miami,5,0
SAI,55,Ferrari,2.0,3.0,Finished,15.0,2022,Miami Grand Prix,Miami,5,0
PER,11,Red Bull Racing,4.0,4.0,Finished,12.0,2022,Miami Grand Prix,Miami,5,0
RUS,63,Mercedes,12.0,5.0,Finished,10.0,2022,Miami Grand Prix,Miami,5,0
HAM,44,Mercedes,6.0,6.0,Finished,8.0,2022,Miami Grand Prix,Miami,5,0
BOT,77,Alfa Romeo,5.0,7.0,Finished,6.0,2022,Miami Grand Prix,Miami,5,0
OCO,31,Alpine,20.0,8.0,Finished,4.0,2022,Miami Grand Prix,Miami,5,0
ALB,23,Williams,18.0,9.0,Finished,2.0,2022,Miami Grand Prix,Miami,5,0
STR,18,Aston Martin,,10.0,Finished,1.0,2022,Miami Grand Prix,Miami,5,0
ALO,14,Alpine,11.0,11.0,Finished,0.0,2022,Miami Grand Prix,Miami,5,0
TSU,22,AlphaTauri,9.0,12.0,Finished,0.0,2022,Miami Grand Prix,Miami,5,0
RIC,3,McLaren,14.0,13.0,Finished,0.0,2022,Miami Grand Prix,Miami,5,0
LAT,6,Williams,19.0,14.0,Finished,0.0,2022,Miami Grand Prix,Miami,5,0
MSC,47,Haas F1 Team,15.0,15.0,Finished,0.0,2022,Miami Grand Prix,Miami,5,0
MAG,20,Haas F1 Team,16.0,16.0,Front wing,0.0,2022,Miami Grand Prix,Miami,5,0
VET,5,Aston Martin,,17.0,Collision,0.0,2022,Miami Grand Prix,Miami,5,0
GAS,10,AlphaTauri,7.0,18.0,Suspension,0.0,2022,Miami Grand Prix,Miami,5,0
NOR,4,McLaren,8.0,19.0,Collision,0.0,2022,Miami Grand Prix,Miami,5,0
ZHO,24,Alfa Romeo,17.0,20.0,Water leak,0.0,2022,Miami Grand Prix,Miami,5,0
VER,1,Red Bull Racing,2.0,1.0,Finished,25.0,2022,Spanish Grand Prix,Barcelona,6,0
PER,11,Red Bull Racing,5.0,2.0,Finished,19.0,2022,Spanish Grand Prix,Barcelona,6,0
RUS,63,Mercedes,4.0,3.0,Finished,15.0,2022,Spanish Grand Prix,Barcelona,6,0
SAI,55,Ferrari,3.0,4.0,Finished,12.0,2022,Spanish Grand Prix,Barcelona,6,0
HAM,44,Mercedes,6.0,5.0,Finished,10.0,2022,Spanish Grand Prix,Barcelona,6,0
BOT,77,Alfa Romeo,7.0,6.0,Finished,8.0,2022,Spanish Grand Prix,Barcelona,6,0
OCO,31,Alpine,12.0,7.0,Finished,6.0,2022,Spanish Grand Prix,Barcelona,6,0
NOR,4,McLaren,11.0,8.0,Finished,4.0,2022,Spanish Grand Prix,Barcelona,6,0
ALO,14,Alpine,20.0,9.0,+1 Lap,2.0,2022,Spanish Grand Prix,Barcelona,6,0
TSU,22,AlphaTauri,13.0,10.0,+1 Lap,1.0,2022,Spanish Grand Prix,Barcelona,6,0
VET,5,Aston Martin,16.0,11.0,+1 Lap,0.0,2022,Spanish Grand Prix,Barcelona,6,0
RIC,3,McLaren,9.0,12.0,+1 Lap,0.0,2022,Spanish Grand Prix,Barcelona,6,0
GAS,10,AlphaTauri,14.0,13.0,+1 Lap,0.0,2022,Spanish Grand Prix,Barcelona,6,0
MSC,47,Haas F1 Team,10.0,14.0,+1 Lap,0.0,2022,Spanish Grand Prix,Barcelona,6,0
STR,18,Aston Martin,17.0,15.0,+1 Lap,0.0,2022,Spanish Grand Prix,Barcelona,6,0
LAT,6,Williams,19.0,16.0,+2 Laps,0.0,2022,Spanish Grand Prix,Barcelona,6,0
MAG,20,Haas F1 Team,8.0,17.0,+2 Laps,0.0,2022,Spanish Grand Prix,Barcelona,6,0
ALB,23,Williams,18.0,18.0,+2 Laps,0.0,2022,Spanish Grand Prix,Barcelona,6,0
ZHO,24,Alfa Romeo,15.0,19.0,Power loss,0.0,2022,Spanish Grand Prix,Barcelona,6,0
LEC,16,Ferrari,1.0,20.0,Turbo,0.0,2022,Spanish Grand Prix,Barcelona,6,0
PER,11,Red Bull Racing,3.0,1.0,Finished,25.0,2022,Monaco Grand Prix,Monaco,7,1
SAI,55,Ferrari,2.0,2.0,Finished,18.0,2022,Monaco Grand Prix,Monaco,7,1
VER,1,Red Bull Racing,4.0,3.0,Finished,15.0,2022,Monaco Grand Prix,Monaco,7,1
LEC,16,Ferrari,1.0,4.0,Finished,12.0,2022,Monaco Grand Prix,Monaco,7,1
RUS,63,Mercedes,6.0,5.0,Finished,10.0,2022,Monaco Grand Prix,Monaco,7,1
NOR,4,McLaren,5.0,6.0,Finished,9.0,2022,Monaco Grand Prix,Monaco,7,1
ALO,14,Alpine,7.0,7.0,Finished,6.0,2022,Monaco Grand Prix,Monaco,7,1
HAM,44,Mercedes,8.0,8.0,Finished,4.0,2022,Monaco Grand Prix,Monaco,7,1
BOT,77,Alfa Romeo,12.0,9.0,Finished,2.0,2022,Monaco Grand Prix,Monaco,7,1
VET,5,Aston Martin,9.0,10.0,Finished,1.0,2022,Monaco Grand Prix,Monaco,7,1
GAS,10,AlphaTauri,17.0,11.0,Finished,0.0,2022,Monaco Grand Prix,Monaco,7,1
OCO,31,Alpine,10.0,12.0,Finished,0.0,2022,Monaco Grand Prix,Monaco,7,1
RIC,3,McLaren,14.0,13.0,Finished,0.0,2022,Monaco Grand Prix,Monaco,7,1
STR,18,Aston Martin,18.0,14.0,Finished,0.0,2022,Monaco Grand Prix,Monaco,7,1
LAT,6,Williams,19.0,15.0,+1 Lap,0.0,2022,Monaco Grand Prix,Monaco,7,1
ZHO,24,Alfa Romeo,20.0,16.0,+1 Lap,0.0,2022,Monaco Grand Prix,Monaco,7,1
TSU,22,AlphaTauri,11.0,17.0,+1 Lap,0.0,2022,Monaco Grand Prix,Monaco,7,1
ALB,23,Williams,16.0,18.0,Mechanical,0.0,2022,Monaco Grand Prix,Monaco,7,1
MSC,47,Haas F1 Team,15.0,19.0,Accident,0.0,2022,Monaco Grand Prix,Monaco,7,1
MAG,20,Haas F1 Team,13.0,20.0,Water pressure,0.0,2022,Monaco Grand Prix,Monaco,7,1
